Time (s),CH1 Conductivity (muS/cm),CH2 Conductivity (muS/cm),CH3 Conductivity (muS/cm)
0.0,1241.0,279.0,1061.0
1.0,1221.0,278.8,1008.0
2.0,1192.0,278.9,965.0
3.0,1184.0,279.3,923.0
4.0,1208.0,279.5,976.0
5.0,1229.0,279.4,1008.0
6.0,1257.0,279.3,1050.0
7.0,1245.0,279.0,1040.0
8.0,1223.0,278.8,976.0
9.0,1185.0,279.0,944.0
10.0,1190.0,279.3,933.0
11.0,1220.0,279.4,987.0
12.0,1267.0,279.3,1040.0
13.0,1255.0,279.0,1040.0
14.0,1211.0,278.9,1008.0
15.0,1168.0,278.8,965.0
16.0,1176.0,278.8,944.0
17.0,1220.0,278.8,997.0
18.0,1283.0,278.8,1050.0
19.0,1278.0,278.8,1072.0
20.0,1217.0,278.8,987.0
21.0,1151.0,278.8,913.0
22.0,1155.0,278.4,913.0
23.0,1235.0,278.0,997.0
24.0,1277.0,278.1,1008.0
25.0,1246.0,278.8,933.0
26.0,1187.0,279.3,901.0
27.0,1197.0,279.5,933.0
28.0,1247.0,279.3,1018.0
29.0,1238.0,279.0,1018.0
30.0,1167.0,278.8,955.0
31.0,1156.0,278.8,944.0
32.0,1222.0,278.4,987.0
33.0,1290.0,278.2,1040.0
34.0,1253.0,278.6,987.0
35.0,1178.0,279.2,891.0
36.0,1187.0,279.4,955.0
37.0,1257.0,279.1,1040.0
38.0,1229.0,279.0,997.0
39.0,1151.0,278.9,923.0
40.0,1180.0,278.4,955.0
41.0,1281.0,278.0,1008.0
42.0,1270.0,278.4,965.0
43.0,1191.0,279.3,891.0
44.0,1217.0,279.3,965.0
45.0,1283.0,279.0,1072.0
46.0,1217.0,278.8,987.0
47.0,1142.0,278.8,923.0
48.0,1208.0,278.6,987.0
49.0,1246.0,278.7,1018.0
50.0,1166.0,278.9,955.0
51.0,1187.0,278.8,965.0
52.0,1282.0,278.0,1040.0
53.0,1238.0,278.8,944.0
54.0,1185.0,279.3,933.0
55.0,1265.0,279.0,1061.0
56.0,1252.0,278.8,1008.0
57.0,1160.0,279.0,891.0
58.0,1208.0,279.0,965.0
59.0,1238.0,279.1,1040.0
60.0,1155.0,278.9,923.0
61.0,1190.0,278.1,965.0
62.0,1261.0,278.3,997.0
63.0,1180.0,279.0,944.0
64.0,1218.0,278.4,997.0
65.0,1284.0,278.2,1018.0
66.0,1193.0,279.1,901.0
67.0,1222.0,279.1,976.0
68.0,1281.0,278.8,1040.0
69.0,1185.0,279.0,891.0
70.0,1211.0,279.3,965.0
71.0,1245.0,278.9,1040.0
72.0,1147.0,278.6,923.0
73.0,1218.0,278.7,997.0
74.0,1228.0,278.8,1008.0
75.0,1143.0,278.7,933.0
76.0,1244.0,278.1,997.0
77.0,1214.0,278.8,987.0
78.0,1178.0,278.7,965.0
79.0,1284.0,278.1,1008.0
80.0,1200.0,279.0,923.0
81.0,1227.0,278.8,997.0
82.0,1279.0,278.4,997.0
83.0,1190.0,279.3,901.0
84.0,1283.0,278.8,1072.0
85.0,1221.0,278.8,933.0
86.0,1194.0,279.3,933.0
87.0,1276.0,278.8,1072.0
88.0,1159.0,278.8,913.0
89.0,1245.0,279.3,1018.0
90.0,1193.0,278.8,965.0
91.0,1182.0,278.8,955.0
92.0,1236.0,278.8,1040.0
93.0,1142.0,278.6,913.0
94.0,1248.0,278.8,1029.0
95.0,1153.0,278.8,955.0
96.0,1217.0,278.3,997.0
97.0,1217.0,278.8,987.0
98.0,1166.0,278.3,965.0
99.0,1252.0,278.5,1008.0
100.0,1154.0,278.5,944.0
101.0,1265.0,278.2,997.0
102.0,1161.0,278.8,955.0
103.0,1259.0,278.0,1008.0
104.0,1185.0,279.0,944.0
105.0,1251.0,278.1,1008.0
106.0,1214.0,278.8,933.0
107.0,1241.0,278.3,997.0
108.0,1231.0,278.7,955.0
109.0,1222.0,278.6,1008.0
110.0,1252.0,278.6,955.0
111.0,1204.0,278.8,1008.0
112.0,1265.0,278.3,987.0
113.0,1203.0,279.0,965.0
114.0,1273.0,278.4,987.0
115.0,1198.0,279.0,987.0
116.0,1270.0,278.3,987.0
117.0,1194.0,279.1,965.0
118.0,1281.0,278.3,997.0
119.0,1197.0,279.1,976.0
120.0,1270.0,278.3,965.0
121.0,1200.0,279.2,987.0
122.0,1270.0,278.3,965.0
123.0,1218.0,278.8,997.0
124.0,1255.0,278.4,955.0
125.0,1216.0,278.8,1008.0
126.0,1251.0,278.5,933.0
127.0,1227.0,278.6,1018.0
128.0,1240.0,278.8,923.0
129.0,1238.0,278.3,997.0
130.0,1209.0,278.8,944.0
131.0,1260.0,278.3,1018.0
132.0,1191.0,278.9,944.0
133.0,1271.0,278.0,1008.0
134.0,1167.0,278.8,923.0
135.0,1264.0,278.0,1018.0
136.0,1166.0,278.7,933.0
137.0,1252.0,278.3,997.0
138.0,1170.0,278.4,965.0
139.0,1226.0,278.8,997.0
140.0,1190.0,278.2,965.0
141.0,1181.0,278.8,987.0
142.0,1226.0,278.4,997.0
143.0,1149.0,278.8,923.0
144.0,1252.0,279.1,1050.0
145.0,1151.0,278.8,913.0
146.0,1241.0,278.8,1072.0
147.0,1191.0,279.2,997.0
148.0,1210.0,278.8,997.0
149.0,1255.0,279.1,1092.0
150.0,1170.0,279.1,944.0
151.0,1279.0,278.5,1114.0
152.0,1194.0,279.3,1082.0
153.0,1227.0,278.6,1072.0
154.0,1267.0,278.3,1220.0
155.0,1170.0,279.1,1135.0
156.0,1270.0,278.0,1209.0
