Vernier Format 2
cstr_1200_300_2.txt 8/2/118 14:24:37
Run 1
Time	Conductivity	Conductivity	Conductivity	
T	C	C	C	
s	µS/cm	µS/cm	µS/cm	

64	998	1603	1228	
65	1038	1603	1307	
66	1038	1612	1340	
67	989	1643	1296	
68	969	1612	1217	
69	1038	1603	1307	
70	1048	1623	1374	
71	1028	1603	1284	
72	969	1612	1228	
73	1067	1582	1318	
74	1078	1653	1362	
75	969	1603	1251	
76	989	1623	1228	
77	1078	1612	1273	
78	1048	1623	1362	
79	969	1603	1273	
80	998	1623	1217	
81	1038	1612	1284	
82	1038	1593	1374	
83	1018	1623	1284	
84	979	1603	1239	
85	1018	1612	1296	
86	1048	1582	1318	
87	1048	1623	1351	
88	998	1612	1228	
89	998	1603	1239	
90	1078	1593	1307	
91	1048	1643	1351	
92	959	1603	1251	
93	979	1612	1262	
94	1038	1623	1284	
95	1078	1612	1351	
96	1018	1582	1307	
97	989	1623	1228	
98	989	1612	1251	
99	1166	1603	1329	
100	1156	1612	1318	
101	1186	1603	1307	
102	1137	1582	1228	
103	1304	1582	1273	
104	1581	1612	1307	
105	1867	1553	1318	
106	1729	1562	1195	
107	1808	1572	1228	
108	2015	1582	1307	
109	1916	1532	1329	
110	1847	1553	1195	
111	1966	1562	1173	
112	2104	1582	1296	
113	2035	1522	1351	
114	1956	1542	1251	
115	1985	1562	1173	
116	2074	1582	1262	
117	2094	1512	1318	
118	1995	1572	1262	
119	1966	1572	1184	
120	1985	1553	1239	
121	2035	1532	1318	
122	2064	1582	1340	
123	1966	1562	1217	
124	1907	1542	1173	
125	2025	1542	1262	
126	2094	1593	1307	
127	2035	1532	1307	
128	1936	1553	1217	
129	1966	1572	1195	
130	2025	1582	1239	
