Time (s),CH1 Conductivity (muS/cm),CH2 Conductivity (muS/cm),CH3 Conductivity (muS/cm)
0.0,750.0,378.0,762.0
1.0,770.0,378.0,772.0
2.0,750.0,388.0,762.0
3.0,799.0,378.0,772.0
4.0,818.0,378.0,762.0
5.0,750.0,378.0,751.0
6.0,770.0,378.0,781.0
7.0,809.0,378.0,762.0
8.0,770.0,378.0,762.0
9.0,809.0,378.0,781.0
10.0,760.0,378.0,751.0
11.0,770.0,378.0,762.0
12.0,799.0,388.0,772.0
13.0,770.0,378.0,751.0
14.0,789.0,388.0,772.0
15.0,750.0,388.0,772.0
16.0,770.0,378.0,762.0
17.0,779.0,378.0,772.0
18.0,760.0,388.0,751.0
19.0,770.0,378.0,772.0
20.0,809.0,378.0,772.0
21.0,867.0,378.0,722.0
22.0,994.0,378.0,762.0
23.0,1161.0,378.0,732.0
24.0,1444.0,378.0,692.0
25.0,1639.0,388.0,702.0
26.0,1747.0,378.0,712.0
27.0,1855.0,378.0,682.0
28.0,1913.0,388.0,712.0
29.0,1923.0,369.0,692.0
30.0,1942.0,378.0,682.0
31.0,1972.0,378.0,732.0
32.0,1972.0,388.0,692.0
33.0,1952.0,378.0,682.0
34.0,1972.0,378.0,712.0
35.0,1962.0,378.0,742.0
36.0,1942.0,378.0,712.0
37.0,1962.0,378.0,742.0
38.0,1991.0,388.0,762.0
39.0,1962.0,378.0,702.0
40.0,1972.0,378.0,722.0
41.0,1972.0,378.0,772.0
42.0,1952.0,378.0,742.0
43.0,1952.0,388.0,751.0
44.0,1972.0,378.0,762.0
45.0,1952.0,378.0,762.0
46.0,1903.0,388.0,751.0
47.0,1942.0,378.0,792.0
48.0,1962.0,378.0,772.0
49.0,1913.0,378.0,762.0
50.0,1913.0,378.0,781.0
51.0,1913.0,378.0,802.0
52.0,1884.0,378.0,781.0
53.0,1913.0,378.0,772.0
54.0,1913.0,378.0,821.0
55.0,1893.0,378.0,792.0
56.0,1884.0,378.0,781.0
57.0,1893.0,378.0,802.0
58.0,1903.0,378.0,811.0
59.0,1844.0,378.0,792.0
60.0,1884.0,378.0,821.0
61.0,1893.0,378.0,821.0
62.0,1864.0,378.0,802.0
63.0,1864.0,388.0,821.0
64.0,1864.0,388.0,841.0
65.0,1864.0,378.0,811.0
66.0,1835.0,378.0,821.0
67.0,1844.0,378.0,851.0
68.0,1855.0,378.0,841.0
69.0,1805.0,378.0,821.0
70.0,1844.0,378.0,851.0
71.0,1815.0,388.0,871.0
72.0,1815.0,378.0,841.0
73.0,1796.0,388.0,851.0
74.0,1844.0,388.0,871.0
75.0,1786.0,378.0,851.0
76.0,1805.0,378.0,851.0
77.0,1805.0,388.0,881.0
78.0,1815.0,378.0,881.0
79.0,1786.0,378.0,862.0
80.0,1786.0,388.0,891.0
81.0,1796.0,378.0,881.0
82.0,1756.0,378.0,851.0
83.0,1767.0,388.0,881.0
84.0,1786.0,369.0,891.0
85.0,1767.0,378.0,881.0
86.0,1776.0,378.0,881.0
87.0,1786.0,388.0,921.0
88.0,1756.0,378.0,901.0
89.0,1747.0,388.0,891.0
90.0,1756.0,378.0,921.0
91.0,1756.0,378.0,921.0
92.0,1747.0,378.0,881.0
93.0,1756.0,388.0,921.0
94.0,1737.0,388.0,931.0
95.0,1708.0,378.0,911.0
96.0,1708.0,378.0,921.0
97.0,1718.0,378.0,951.0
98.0,1698.0,378.0,921.0
99.0,1708.0,378.0,911.0
100.0,1718.0,378.0,941.0
101.0,1698.0,378.0,941.0
102.0,1688.0,378.0,911.0
103.0,1708.0,369.0,951.0
104.0,1727.0,388.0,931.0
105.0,1679.0,378.0,921.0
106.0,1698.0,378.0,931.0
107.0,1688.0,388.0,971.0
108.0,1688.0,388.0,921.0
109.0,1698.0,378.0,951.0
110.0,1698.0,378.0,981.0
111.0,1659.0,378.0,961.0
112.0,1649.0,378.0,931.0
113.0,1698.0,388.0,961.0
114.0,1688.0,378.0,961.0
115.0,1630.0,378.0,951.0
116.0,1659.0,388.0,971.0
117.0,1659.0,378.0,971.0
118.0,1639.0,378.0,951.0
119.0,1649.0,388.0,971.0
120.0,1659.0,369.0,981.0
121.0,1639.0,388.0,961.0
122.0,1630.0,369.0,961.0
123.0,1639.0,378.0,1011.0
124.0,1649.0,378.0,971.0
125.0,1630.0,378.0,971.0
126.0,1639.0,388.0,1001.0
127.0,1610.0,388.0,1001.0
128.0,1600.0,388.0,971.0
129.0,1630.0,388.0,991.0
130.0,1610.0,378.0,1001.0
131.0,1610.0,378.0,971.0
132.0,1591.0,388.0,991.0
133.0,1610.0,378.0,1011.0
134.0,1581.0,388.0,981.0
135.0,1591.0,378.0,981.0
136.0,1610.0,388.0,1011.0
137.0,1591.0,378.0,1011.0
138.0,1571.0,378.0,1001.0
139.0,1581.0,378.0,1031.0
140.0,1581.0,388.0,1041.0
141.0,1551.0,388.0,991.0
142.0,1571.0,378.0,1011.0
143.0,1571.0,378.0,1021.0
144.0,1542.0,378.0,991.0
145.0,1551.0,369.0,1011.0
146.0,1581.0,388.0,1031.0
147.0,1532.0,378.0,1021.0
148.0,1551.0,378.0,1011.0
149.0,1571.0,378.0,1041.0
150.0,1532.0,378.0,1031.0
151.0,1503.0,378.0,1011.0
152.0,1551.0,378.0,1051.0
153.0,1561.0,388.0,1031.0
154.0,1532.0,369.0,1021.0
155.0,1542.0,378.0,1041.0
156.0,1551.0,378.0,1061.0
157.0,1503.0,378.0,1011.0
158.0,1522.0,369.0,1041.0
159.0,1551.0,378.0,1061.0
160.0,1493.0,388.0,1021.0
161.0,1483.0,388.0,1041.0
162.0,1532.0,378.0,1051.0
163.0,1522.0,388.0,1031.0
164.0,1473.0,378.0,1041.0
165.0,1503.0,388.0,1061.0
166.0,1503.0,388.0,1051.0
167.0,1493.0,378.0,1031.0
168.0,1493.0,369.0,1061.0
169.0,1503.0,378.0,1071.0
170.0,1483.0,378.0,1041.0
171.0,1503.0,388.0,1041.0
172.0,1512.0,378.0,1081.0
173.0,1483.0,378.0,1031.0
174.0,1463.0,388.0,1051.0
175.0,1473.0,388.0,1071.0
176.0,1483.0,378.0,1051.0
177.0,1473.0,378.0,1031.0
178.0,1483.0,388.0,1061.0
179.0,1473.0,378.0,1081.0
180.0,1424.0,378.0,1051.0
181.0,1454.0,378.0,1071.0
